Source:Port,Destination:Port,Data Transferred (bytes)
172.16.128.169:8014,172.16.133.12:59108,326
172.16.128.169:8014,172.16.133.75:50413,326
172.16.133.12:59108,172.16.128.169:8014,120
172.16.133.103:63350,172.16.128.169:8014,120
172.16.133.75:50413,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.66:53308,326
172.16.133.76:62340,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.87:59659,326
172.16.133.66:53308,172.16.128.169:8014,120
172.16.133.87:59659,172.16.128.169:8014,120
172.16.133.132:38630,98.139.134.187:80,942
96.43.146.176:443,172.16.133.37:55511,40085
96.43.146.48:443,172.16.133.37:60537,13147
172.16.133.60:62042,67.217.66.49:443,22923
172.16.133.60:62039,67.217.65.49:443,22923
172.16.133.60:62041,67.217.64.49:443,22923
67.217.66.65:443,172.16.133.47:56537,13741
67.217.65.65:443,172.16.133.47:56534,13741
67.217.64.65:443,172.16.133.47:56536,13741
172.16.133.68:56917,205.203.132.1:80,30986
208.92.54.5:80,172.16.133.56:56237,2623071
172.16.133.56:56237,208.92.54.5:80,82766
172.16.133.53:53992,173.194.43.7:443,420
98.139.134.187:80,172.16.133.132:38630,7541
172.16.133.82:61250,64.56.203.22:443,2939
172.16.133.82:61251,64.56.203.22:443,3516
172.16.133.82:61252,64.56.203.22:443,2933
96.43.146.176:443,172.16.133.50:50638,131924
172.16.133.36:64956,67.217.64.99:443,27402
172.16.133.36:64958,67.217.66.99:443,27505
172.16.133.36:64954,67.217.65.99:443,27505
172.16.133.24:55774,172.16.139.250:5500,52264
172.16.133.82:61253,216.137.33.209:443,926
172.16.133.82:61254,216.137.33.209:443,920
172.16.133.82:61255,216.137.33.209:443,866
172.16.133.82:61256,216.137.33.209:443,920
172.16.133.82:61257,216.137.33.209:443,866
96.43.146.176:443,172.16.133.75:58053,3065
172.16.133.82:61258,74.125.226.222:443,16821
172.16.133.41:52362,173.194.75.103:443,9167
205.203.132.1:80,172.16.133.68:56917,8101
67.217.66.49:443,172.16.133.60:62042,13650
172.16.133.33:57817,172.16.139.250:5440,1142
67.217.65.49:443,172.16.133.60:62039,13650
67.217.64.49:443,172.16.133.60:62041,13650
173.194.43.7:443,172.16.133.53:53992,660
172.16.133.23:61949,157.56.236.102:443,300
172.16.133.29:49318,157.56.237.150:443,360
172.16.133.24:56083,172.16.139.250:5462,2760
74.125.226.222:443,172.16.133.82:61258,2818
132.245.1.150:443,172.16.133.85:60808,89102
172.16.133.85:60806,132.245.1.150:443,23745
216.137.33.209:443,172.16.133.82:61253,6770
216.137.33.209:443,172.16.133.82:61254,6466
216.137.33.209:443,172.16.133.82:61256,6466
216.137.33.209:443,172.16.133.82:61257,6770
216.137.33.209:443,172.16.133.82:61255,6770
172.16.133.85:51683,216.115.208.199:443,28179
67.217.66.99:443,172.16.133.36:64958,17296
67.217.65.99:443,172.16.133.36:64954,17296
67.217.64.99:443,172.16.133.36:64956,17218
172.16.133.68:60656,172.16.139.250:5440,1142
173.194.75.103:443,172.16.133.41:52362,5660
132.245.1.150:443,172.16.133.85:60806,4080
172.16.133.85:60808,132.245.1.150:443,3066
172.16.133.43:62631,157.56.236.102:443,666
172.16.133.12:59648,172.16.139.250:5440,1022
157.56.245.198:443,172.16.133.207:49659,34795
172.16.133.63:53814,172.16.139.250:5440,1022
172.16.133.207:49658,157.56.245.198:443,248930
172.16.133.66:53787,172.16.139.250:5440,1022
172.16.139.250:3389,172.16.128.15:57460,28178
172.16.133.45:61092,173.194.68.125:5222,1076
172.16.133.82:61259,172.16.139.250:5440,1022
64.56.203.22:443,172.16.133.82:61250,1159
64.56.203.22:443,172.16.133.82:61251,6333
64.56.203.22:443,172.16.133.82:61252,1022
64.56.203.22:443,172.16.133.82:61234,14371
172.16.133.24:56569,96.43.146.48:443,38468
172.16.133.24:56568,96.43.146.48:443,64540
172.16.133.24:56570,96.43.146.48:443,50212
172.16.133.24:57115,96.43.146.176:443,141861
172.16.133.24:56567,96.43.146.48:443,79870
172.16.133.24:57212,96.43.146.176:443,164254
157.56.245.198:443,172.16.133.207:49658,10260
157.56.234.118:443,172.16.133.37:59833,47405
172.16.133.207:49659,157.56.245.198:443,2886
172.16.133.132:50400,76.13.6.174:80,717
172.16.133.92:55696,216.219.115.163:443,22939
172.16.133.92:55697,216.115.217.201:443,22939
172.16.133.92:55693,64.74.80.188:443,22939
172.16.133.92:55695,216.115.216.101:443,22939
172.16.133.37:60538,172.16.139.250:5440,1022
172.16.133.37:59832,157.56.234.118:443,14308
172.16.128.233:55207,172.16.133.233:22,120
172.16.133.233:22,172.16.128.233:55207,120
172.16.133.29:60708,23.0.49.244:80,240
172.16.133.34:52661,172.16.139.250:5500,56384
172.16.133.163:1185,157.56.240.102:443,22146
173.194.68.125:5222,172.16.133.45:61092,547
172.16.133.29:60711,23.0.49.244:80,180
172.16.133.37:60539,96.43.146.48:443,28686
172.16.133.53:53651,67.217.94.254:443,4230
172.16.133.29:60328,23.33.81.244:80,8022
96.43.146.48:443,172.16.133.24:56569,29295
216.115.208.199:443,172.16.133.85:51683,24777
76.13.6.174:80,172.16.133.132:50400,1212
23.0.49.244:80,172.16.133.29:60708,252
96.43.146.48:443,172.16.133.24:56568,97319
64.74.80.188:443,172.16.133.92:55693,13923
216.219.115.163:443,172.16.133.92:55696,13923
216.115.216.101:443,172.16.133.92:55695,13923
216.115.217.201:443,172.16.133.92:55697,13923
96.43.146.48:443,172.16.133.24:56570,41553
96.43.146.176:443,172.16.133.24:57115,137862
172.16.133.82:61241,96.43.146.50:443,15650
96.43.146.48:443,172.16.133.24:56567,73621
96.43.146.176:443,172.16.133.24:57212,298461
172.16.133.12:57542,96.43.146.176:443,5010
172.16.133.60:62037,216.115.208.199:443,13405
172.16.133.37:60540,96.43.146.48:443,8522
23.33.81.244:80,172.16.133.29:60328,28062
67.217.94.254:443,172.16.133.53:53651,4091
172.16.133.37:60541,96.43.146.48:443,16623
23.0.49.244:80,172.16.133.29:60711,186
172.16.133.132:54615,98.139.161.29:80,715
172.16.133.116:57461,96.43.146.22:443,120
96.43.146.48:443,172.16.133.37:60539,28039
157.56.234.118:443,172.16.133.37:59832,3480
172.16.133.132:44305,98.138.19.88:80,733
172.16.133.29:60108,23.33.81.244:80,16178
157.56.240.102:443,172.16.133.95:49359,261823
172.16.133.50:50638,96.43.146.176:443,26907
172.16.133.37:59833,157.56.234.118:443,2100
96.43.146.176:443,172.16.133.12:57542,3045
96.43.146.48:443,172.16.133.37:60540,7175
172.16.133.63:49370,157.56.232.214:443,2868
202.68.93.36:443,172.16.133.20:62259,211
172.16.133.20:62259,202.68.93.36:443,120
