Source:Port,Destination:Port,Data Transferred (bytes)
172.16.133.67:56029,172.16.139.250:5440,1142
172.16.133.54:64567,23.21.75.80:80,6109
172.16.133.56:61473,172.16.139.250:5440,1022
172.16.133.54:64568,23.21.75.80:80,6757
172.16.133.54:64569,74.125.226.1:80,980
172.16.133.54:64570,74.125.226.1:80,1028
172.16.133.54:64571,74.125.226.1:80,1026
172.16.133.54:64572,74.125.226.1:80,246
172.16.133.54:64573,74.125.226.1:80,246
172.16.133.54:64574,74.125.226.1:80,973
172.16.133.54:64575,74.125.226.1:80,851
172.16.133.54:64576,74.125.226.1:80,853
172.16.133.54:64577,74.125.226.1:80,912
172.16.133.54:64578,74.125.226.1:80,910
172.16.133.54:64579,74.125.226.1:80,849
172.16.133.54:64580,74.125.226.1:80,1271
23.21.75.80:80,172.16.133.54:64568,771
23.21.75.80:80,172.16.133.54:64567,660
172.16.133.28:65475,172.16.139.250:5440,1022
74.125.226.1:80,172.16.133.54:64569,1298
74.125.226.1:80,172.16.133.54:64574,16050
74.125.226.1:80,172.16.133.54:64571,23818
74.125.226.1:80,172.16.133.54:64572,126
74.125.226.1:80,172.16.133.54:64573,126
74.125.226.1:80,172.16.133.54:64570,23334
74.125.226.1:80,172.16.133.54:64576,1009
74.125.226.1:80,172.16.133.54:64575,5036
74.125.226.1:80,172.16.133.54:64577,14348
74.125.226.1:80,172.16.133.54:64578,10657
172.16.133.41:53063,172.16.139.250:5440,1142
74.125.226.1:80,172.16.133.54:64580,39418
74.125.226.1:80,172.16.133.54:64579,7223
172.16.133.54:64581,50.116.194.21:80,798
172.16.133.54:64582,50.116.194.21:80,246
172.16.133.85:52316,172.16.139.250:5440,1022
172.16.133.42:57170,172.16.139.250:5440,1142
50.116.194.21:80,172.16.133.54:64582,120
50.116.194.21:80,172.16.133.54:64581,1183
172.16.133.43:57826,172.16.139.250:5440,1022
172.16.133.13:53082,172.16.139.250:5440,1022
172.16.133.20:62438,172.16.139.250:5440,1142
172.16.133.75:51017,172.16.139.250:5440,1022
172.16.133.28:65476,172.16.139.250:5440,1142
172.16.133.99:56087,172.16.139.250:5440,1142
172.16.133.87:60252,172.16.139.250:5440,1022
172.16.133.35:50017,172.16.139.250:5440,1142
172.16.133.116:53503,172.16.139.250:5440,1022
172.16.133.116:53504,172.16.139.250:5440,1022
172.16.133.116:53505,172.16.139.250:5440,1022
172.16.133.96:53345,173.194.43.53:443,6299
172.16.133.84:58836,172.16.139.250:5440,1022
173.194.43.53:443,172.16.133.96:53345,5350
172.16.133.54:64583,209.190.70.254:80,3043
209.190.70.254:80,172.16.133.54:64583,4366
172.16.133.49:55831,172.16.139.250:5440,1022
172.16.133.95:57013,172.16.139.250:5440,1142
172.16.133.92:57727,172.16.139.250:5440,1022
172.16.133.29:60997,172.16.139.250:5440,1022
172.16.133.44:64880,172.16.139.250:5440,1022
172.16.133.207:55977,172.16.139.250:5440,1142
172.16.133.83:57135,172.16.139.250:5440,1142
172.16.133.93:60764,172.16.139.250:5440,1022
172.16.133.11:55186,172.16.139.250:5440,1142
172.16.133.55:57665,172.16.139.250:5440,1022
172.16.133.73:60717,172.16.139.250:5440,1022
172.16.133.54:64584,74.217.253.61:80,801
172.16.133.54:64585,74.217.253.61:80,246
172.16.133.53:54143,172.16.139.250:5440,1022
172.16.133.21:53238,172.16.139.250:5440,1022
172.16.133.30:62667,172.16.139.250:5440,1022
172.16.133.25:63522,172.16.139.250:5440,1142
172.16.133.34:50483,172.16.139.250:5440,1022
172.16.133.25:63523,216.115.222.200:443,246
74.217.253.61:80,172.16.133.54:64584,892
74.217.253.61:80,172.16.133.54:64585,186
172.16.133.97:59416,172.16.139.250:5440,1022
172.16.133.54:64586,206.165.250.99:80,1530
172.16.133.54:64587,206.165.250.99:80,246
172.16.133.54:64588,64.215.255.57:80,1133
172.16.133.54:64589,64.215.255.57:80,246
172.16.133.41:53064,216.52.121.204:80,3436
172.16.128.233:55251,172.16.133.233:22,4120
172.16.133.233:22,172.16.128.233:55251,15388
64.215.255.57:80,172.16.133.54:64588,321
64.215.255.57:80,172.16.133.54:64589,386
216.115.222.200:443,172.16.133.25:63523,120
216.52.121.204:80,172.16.133.41:53064,576
172.16.133.54:64590,74.125.239.15:80,813
172.16.133.33:57925,172.16.139.250:5440,1022
172.16.133.54:64591,74.125.239.15:80,956
206.165.250.99:80,172.16.133.54:64586,1425
206.165.250.99:80,172.16.133.54:64587,386
172.16.133.68:60797,172.16.139.250:5440,1142
172.16.133.12:59822,172.16.139.250:5440,1022
172.16.133.63:53928,172.16.139.250:5440,1022
172.16.133.66:53923,172.16.139.250:5440,1022
172.16.133.25:63524,66.151.158.187:443,246
172.16.133.82:61392,172.16.139.250:5440,1022
74.125.239.15:80,172.16.133.54:64590,455
172.16.133.37:60669,172.16.139.250:5440,1022
74.125.239.15:80,172.16.133.54:64591,724
172.16.133.25:63525,216.219.112.250:443,246
66.151.158.187:443,172.16.133.25:63524,120
172.16.133.184:55165,204.14.235.101:443,5551
172.16.133.184:48315,205.216.16.228:80,16994
216.219.112.250:443,172.16.133.25:63525,120
172.16.133.54:64592,209.190.70.254:80,4145
172.16.133.78:59253,172.16.139.250:5440,1022
172.16.133.54:64593,209.190.70.254:80,3394
172.16.133.54:64594,157.56.134.97:80,2609
172.16.133.54:64595,157.56.134.97:80,186
204.14.235.101:443,172.16.133.184:55165,20989
172.16.133.54:64596,204.154.111.33:80,2339
209.190.70.254:80,172.16.133.54:64592,1276
172.16.133.54:64597,204.154.111.33:80,186
157.56.134.97:80,172.16.133.54:64594,3675
157.56.134.97:80,172.16.133.54:64595,126
205.216.16.228:80,172.16.133.184:48315,364272
209.190.70.254:80,172.16.133.54:64593,4342
173.194.43.47:80,172.16.133.25:63507,126
172.16.133.54:64598,205.188.93.194:80,701
204.154.111.33:80,172.16.133.54:64596,526
172.16.133.54:64599,205.188.93.194:80,1601
204.154.111.33:80,172.16.133.54:64597,120
172.16.133.67:56030,172.16.139.250:5440,1142
172.16.133.54:64600,216.38.163.167:80,763
172.16.133.54:64601,216.38.163.167:80,835
205.188.93.194:80,172.16.133.54:64598,694
205.188.93.194:80,172.16.133.54:64599,693
172.16.133.56:61474,172.16.139.250:5440,1142
216.38.163.167:80,172.16.133.54:64600,806
216.38.163.167:80,172.16.133.54:64601,716
172.16.133.41:53065,172.16.139.250:5440,1142
172.16.133.42:57171,172.16.139.250:5440,1142
172.16.133.85:52317,172.16.139.250:5440,1022
172.16.133.184:48316,205.216.16.228:80,23470
172.16.133.184:48317,205.216.16.228:80,26849
172.16.133.184:48318,205.216.16.228:80,21962
172.16.133.184:48319,205.216.16.228:80,18313
172.16.133.184:48320,205.216.16.228:80,18367
172.16.133.43:57827,172.16.139.250:5440,1022
172.16.133.48:60520,50.16.236.32:80,907
172.16.133.13:53083,172.16.139.250:5440,1142
205.216.16.228:80,172.16.133.184:48316,384143
172.16.133.54:64602,209.190.106.126:80,4074
205.216.16.228:80,172.16.133.184:48317,410742
205.216.16.228:80,172.16.133.184:48318,463318
205.216.16.228:80,172.16.133.184:48319,255405
205.216.16.228:80,172.16.133.184:48320,227344
50.16.236.32:80,172.16.133.48:60520,485
209.190.106.126:80,172.16.133.54:64602,981
172.16.133.20:62439,172.16.139.250:5440,1142
172.16.133.54:64603,206.165.250.99:80,1305
172.16.133.54:64604,206.165.250.99:80,246
172.16.133.75:51018,172.16.139.250:5440,1022
172.16.133.54:64605,74.217.78.158:80,2258
172.16.133.54:64606,74.217.78.158:80,246
172.16.133.25:63526,202.173.24.200:443,246
172.16.133.28:65477,172.16.139.250:5440,1142
172.16.133.99:56088,172.16.139.250:5440,1142
172.16.133.87:60253,172.16.139.250:5440,1022
172.16.133.35:50018,172.16.139.250:5440,1142
172.16.133.116:53506,172.16.139.250:5440,1022
172.16.133.116:53507,172.16.139.250:5440,1142
172.16.133.84:58837,172.16.139.250:5440,1022
216.115.219.126:443,172.16.133.75:51011,120
172.16.133.54:64607,67.69.196.24:80,1766
172.16.133.54:64608,67.69.196.24:80,246
172.16.133.116:53508,172.16.139.250:5440,1022
172.16.133.54:64609,23.21.204.69:80,1671
172.16.133.54:64610,23.21.204.69:80,246
206.165.250.99:80,172.16.133.54:64603,1222
206.165.250.99:80,172.16.133.54:64604,386
74.217.78.158:80,172.16.133.54:64606,126
74.217.78.158:80,172.16.133.54:64605,555
172.16.133.54:64611,107.22.183.9:80,1684
172.16.133.54:64612,107.22.183.9:80,246
172.16.133.54:64613,209.190.70.254:80,4007
172.16.133.184:55172,204.14.235.101:443,1704
172.16.133.184:55173,204.14.235.101:443,2118
172.16.133.184:55174,204.14.235.101:443,1658
172.16.133.184:55175,204.14.235.101:443,1224
172.16.133.163:3537,68.64.24.250:443,246
172.16.133.49:55832,172.16.139.250:5440,1142
172.16.133.71:57536,132.245.2.22:443,120
172.16.133.71:57535,132.245.1.150:443,120
172.16.133.71:57534,132.245.2.70:443,120
172.16.133.71:57517,157.56.232.182:443,120
172.16.133.71:57547,132.245.2.22:443,13946
23.21.204.69:80,172.16.133.54:64609,709
23.21.204.69:80,172.16.133.54:64610,308
107.22.183.9:80,172.16.133.54:64611,757
107.22.183.9:80,172.16.133.54:64612,126
67.69.196.24:80,172.16.133.54:64608,186
67.69.196.24:80,172.16.133.54:64607,878
172.16.133.163:3538,216.219.118.244:443,246
172.16.133.163:3539,78.108.118.250:443,246
172.16.133.95:57014,172.16.139.250:5440,1022
209.190.70.254:80,172.16.133.54:64613,1142
172.16.133.54:64614,209.190.70.254:80,246
172.16.133.54:64615,72.21.194.32:80,246
132.245.1.150:443,172.16.133.71:57535,60
157.56.232.182:443,172.16.133.71:57517,60
172.16.133.92:57728,172.16.139.250:5440,1022
202.173.24.200:443,172.16.133.25:63526,120
172.16.133.54:64616,209.190.106.126:80,4261
132.245.2.70:443,172.16.133.71:57534,60
172.16.133.54:64617,209.190.106.126:80,4262
132.245.2.22:443,172.16.133.71:57547,12924
68.64.24.250:443,172.16.133.163:3537,120
172.16.133.54:64618,209.190.106.126:80,4248
132.245.2.22:443,172.16.133.71:57536,60
172.16.133.29:60998,172.16.139.250:5440,1022
72.21.194.32:80,172.16.133.54:64615,126
172.16.133.44:64881,172.16.139.250:5440,1022
172.16.133.54:64619,209.190.106.126:80,246
172.16.133.54:64620,209.190.106.126:80,4371
209.190.70.254:80,172.16.133.54:64614,122
172.16.133.54:64621,209.190.106.126:80,246
209.190.106.126:80,172.16.133.54:64616,989
209.190.106.126:80,172.16.133.54:64617,993
172.16.133.207:55978,172.16.139.250:5440,1142
204.14.235.101:443,172.16.133.184:55174,6004
204.14.235.101:443,172.16.133.184:55173,6262
204.14.235.101:443,172.16.133.184:55175,4922
204.14.235.101:443,172.16.133.184:55172,5943
209.190.106.126:80,172.16.133.54:64618,763
172.16.133.83:57136,172.16.139.250:5440,1142
172.16.133.184:55176,204.14.235.101:443,1224
172.16.133.93:60765,172.16.139.250:5440,1142
78.108.118.250:443,172.16.133.163:3539,120
216.219.118.244:443,172.16.133.163:3538,120
172.16.133.11:55187,172.16.139.250:5440,1022
209.190.106.126:80,172.16.133.54:64619,122
209.190.106.126:80,172.16.133.54:64621,122
209.190.106.126:80,172.16.133.54:64620,981
172.16.133.55:57666,172.16.139.250:5440,1022
172.16.133.163:3540,216.115.219.126:443,246
172.16.133.53:54144,172.16.139.250:5440,1022
172.16.133.184:42130,173.194.43.35:80,5853
172.16.133.73:60718,172.16.139.250:5440,1022
172.16.133.21:53239,172.16.139.250:5440,1022
172.16.133.30:62668,172.16.139.250:5440,1022
172.16.133.25:63527,172.16.139.250:5440,1142
173.194.43.35:80,172.16.133.184:42130,18064
172.16.133.34:50484,172.16.139.250:5440,1022
204.14.235.101:443,172.16.133.184:55176,4922
172.16.133.184:52205,208.71.125.129:80,10863
172.16.133.113:55636,63.147.189.115:80,1418
172.16.133.97:59417,172.16.139.250:5440,1022
172.16.133.113:55635,63.147.189.115:80,1352
172.16.133.53:54145,78.108.118.250:443,246
172.16.133.53:54146,216.219.118.244:443,246
172.16.133.53:54147,68.64.24.250:443,246
172.16.133.53:54148,216.115.219.126:443,246
208.71.125.129:80,172.16.133.184:52205,77077
68.64.24.250:443,172.16.133.53:54147,120
216.157.106.190:80,172.16.133.54:64542,252
172.16.133.33:57926,172.16.139.250:5440,1142
172.16.133.68:60798,172.16.139.250:5440,1022
172.16.133.12:59823,172.16.139.250:5440,1022
172.16.133.63:53929,172.16.139.250:5440,1022
63.147.189.115:80,172.16.133.113:55636,5000
63.147.189.115:80,172.16.133.113:55635,4934
172.16.133.54:64622,174.129.2.251:80,3217
172.16.133.54:64623,174.129.2.251:80,246
78.108.118.250:443,172.16.133.53:54145,120
172.16.133.54:64624,8.30.199.67:80,1425
172.16.133.54:64625,8.30.199.67:80,246
172.16.133.54:64626,209.94.144.19:80,1478
172.16.133.54:64627,209.94.144.19:80,246
216.219.118.244:443,172.16.133.53:54146,120
172.16.133.54:64628,54.243.97.248:80,3902
172.16.133.54:64629,54.243.97.248:80,246
172.16.133.66:53924,172.16.139.250:5440,1022
172.16.133.75:51019,68.64.24.250:443,246
172.16.133.82:61393,172.16.139.250:5440,1022
174.129.2.251:80,172.16.133.54:64622,3290
209.94.144.19:80,172.16.133.54:64626,567
209.94.144.19:80,172.16.133.54:64627,186
8.30.199.67:80,172.16.133.54:64624,917
174.129.2.251:80,172.16.133.54:64623,126
8.30.199.67:80,172.16.133.54:64625,180
54.243.97.248:80,172.16.133.54:64629,126
54.243.97.248:80,172.16.133.54:64628,4188
172.16.133.37:60670,172.16.139.250:5440,1022
68.64.24.250:443,172.16.133.75:51019,120
172.16.133.71:57548,184.73.225.104:443,3783
216.115.219.126:443,172.16.133.163:3540,120
184.73.225.104:443,172.16.133.71:57548,10940
172.16.133.184:52206,208.71.125.129:80,3384
216.115.219.126:443,172.16.133.53:54148,120
172.16.133.16:59336,66.220.152.19:443,32571
208.71.125.129:80,172.16.133.184:52206,18135
172.16.133.184:35335,64.208.138.244:80,676
172.16.133.184:35336,64.208.138.244:80,1203
172.16.133.184:46742,208.71.125.1:80,1246
66.220.152.19:443,172.16.133.16:59336,184178
172.16.133.75:51020,78.108.118.250:443,246
172.16.133.63:53930,180.153.31.250:443,246
64.208.138.244:80,172.16.133.184:35335,1048
172.16.133.78:59254,172.16.139.250:5440,1142
172.16.133.184:44077,63.116.244.89:80,1836
64.208.138.244:80,172.16.133.184:35336,1055
172.16.133.75:51021,216.219.118.244:443,246
208.71.125.1:80,172.16.133.184:46742,1319
172.16.133.184:46744,208.71.125.1:80,839
172.16.133.184:46745,208.71.125.1:80,791
172.16.133.184:55155,64.208.138.244:443,1403
172.16.133.184:46567,96.43.148.26:443,3387
172.16.133.184:46568,96.43.148.26:443,3025
172.16.133.184:35344,64.208.138.244:80,836
63.116.244.89:80,172.16.133.184:44077,1098
172.16.133.184:46750,208.71.125.1:80,891
172.16.133.67:56031,172.16.139.250:5440,1142
172.16.133.184:46751,208.71.125.1:80,1337
172.16.133.184:55161,64.208.138.244:443,1627
208.71.125.1:80,172.16.133.184:46744,938
208.71.125.1:80,172.16.133.184:46745,892
64.208.138.244:443,172.16.133.184:55155,3388
96.43.148.26:443,172.16.133.184:46567,18009
96.43.148.26:443,172.16.133.184:46568,14544
64.208.138.244:80,172.16.133.184:35344,1103
172.16.133.56:61475,172.16.139.250:5440,1022
64.208.138.244:443,172.16.133.184:55161,3388
208.71.125.1:80,172.16.133.184:46750,1425
208.71.125.1:80,172.16.133.184:46751,902
78.108.118.250:443,172.16.133.75:51020,120
216.219.118.244:443,172.16.133.75:51021,120
172.16.133.41:53066,172.16.139.250:5440,1142
172.16.133.42:57172,172.16.139.250:5440,1142
172.16.133.85:52318,172.16.139.250:5440,1022
172.16.133.43:57828,172.16.139.250:5440,1022
172.16.133.13:53084,172.16.139.250:5440,1022
180.153.31.250:443,172.16.133.63:53930,120
172.16.133.20:62440,172.16.139.250:5440,1142
172.16.133.75:51022,172.16.139.250:5440,1022
172.16.133.184:48468,23.33.47.60:443,7677
172.16.133.184:48469,23.33.47.60:443,1514
172.16.133.184:48470,23.33.47.60:443,3239
172.16.133.184:48471,23.33.47.60:443,2834
172.16.133.184:48472,23.33.47.60:443,977
172.16.133.184:48473,23.33.47.60:443,977
172.16.133.28:65478,172.16.139.250:5440,1142
23.33.47.60:443,172.16.133.184:48468,281265
23.33.47.60:443,172.16.133.184:48469,2866
23.33.47.60:443,172.16.133.184:48470,43207
23.33.47.60:443,172.16.133.184:48471,74030
23.33.47.60:443,172.16.133.184:48472,2363
23.33.47.60:443,172.16.133.184:48473,2363
172.16.133.99:56089,172.16.139.250:5440,1142
172.16.133.87:60254,172.16.139.250:5440,1022
172.16.133.16:59337,208.47.254.27:80,246
172.16.133.16:59338,208.47.254.27:80,246
172.16.133.35:50019,172.16.139.250:5440,1142
172.16.133.116:53509,172.16.139.250:5440,1142
208.47.254.27:80,172.16.133.16:59337,126
208.47.254.27:80,172.16.133.16:59338,126
172.16.133.116:53510,172.16.139.250:5440,1022
172.16.133.84:58838,172.16.139.250:5440,1022
172.16.133.116:53511,172.16.139.250:5440,1022
172.16.133.18:50258,96.43.146.176:443,341
172.16.133.18:50273,96.43.146.22:443,341
172.16.133.18:50272,96.43.146.22:443,341
172.16.133.184:46759,208.71.125.1:80,988
172.16.133.49:55833,172.16.139.250:5440,1142
172.16.133.184:46760,208.71.125.1:80,982
172.16.133.184:46761,208.71.125.1:80,942
172.16.133.95:57015,172.16.139.250:5440,1142
172.16.133.92:57729,172.16.139.250:5440,1022
172.16.133.29:60999,172.16.139.250:5440,1142
208.71.125.1:80,172.16.133.184:46759,462
96.43.146.176:443,172.16.133.18:50258,221
96.43.146.22:443,172.16.133.18:50272,281
96.43.146.22:443,172.16.133.18:50273,221
172.16.133.44:64882,172.16.139.250:5440,1022
172.16.133.184:46269,173.194.43.60:443,3406
208.71.125.1:80,172.16.133.184:46760,902
208.71.125.1:80,172.16.133.184:46761,462
172.16.133.207:55979,172.16.139.250:5440,1142
172.16.133.184:46583,96.43.148.26:443,1218
172.16.133.184:46584,96.43.148.26:443,1218
172.16.133.83:57137,172.16.139.250:5440,1022
173.194.43.60:443,172.16.133.184:46269,7008
172.16.133.93:60766,172.16.139.250:5440,1142
96.43.148.26:443,172.16.133.184:46583,5036
96.43.148.26:443,172.16.133.184:46584,5036
172.16.133.11:55188,172.16.139.250:5440,1142
172.16.133.55:57667,172.16.139.250:5440,1142
172.16.133.184:46585,96.43.148.26:443,1218
172.16.133.73:60719,172.16.139.250:5440,1142
172.16.133.53:54149,172.16.139.250:5440,1022
172.16.133.21:53240,172.16.139.250:5440,1142
172.16.133.30:62669,172.16.139.250:5440,1022
172.16.133.25:63528,172.16.139.250:5440,1142
172.16.133.34:50485,172.16.139.250:5440,1022
96.43.148.26:443,172.16.133.184:46585,5036
172.16.133.97:59418,172.16.139.250:5440,1142
172.16.133.33:57927,78.108.118.250:443,246
172.16.133.33:57928,68.64.24.250:443,246
172.16.133.33:57929,216.219.118.244:443,246
172.16.133.33:57930,216.115.219.126:443,246
172.16.133.25:63529,216.115.222.200:443,246
68.64.24.250:443,172.16.133.33:57928,120
216.115.222.200:443,172.16.133.25:63529,120
172.16.133.33:57931,172.16.139.250:5440,1142
172.16.133.68:60801,172.16.139.250:5440,1142
78.108.118.250:443,172.16.133.33:57927,120
172.16.133.12:59824,172.16.139.250:5440,1142
216.219.118.244:443,172.16.133.33:57929,120
172.16.133.184:42344,70.42.13.101:443,2013
172.16.133.63:53931,172.16.139.250:5440,1142
172.16.133.66:53925,172.16.139.250:5440,1142
70.42.13.101:443,172.16.133.184:42344,5650
172.16.133.82:61394,172.16.139.250:5440,1142
172.16.133.41:53067,216.52.121.204:80,4100
172.16.133.41:53068,199.102.234.31:80,3084
172.16.133.37:60671,172.16.139.250:5440,1022
172.16.133.184:36974,173.194.43.59:443,2957
216.52.121.204:80,172.16.133.41:53067,557
199.102.234.31:80,172.16.133.41:53068,1915
172.16.133.25:63530,66.151.158.187:443,246
173.194.43.59:443,172.16.133.184:36974,5159
172.16.133.113:55637,172.16.139.250:135,492
216.115.219.126:443,172.16.133.33:57930,120
172.16.133.113:55638,172.16.139.250:5462,696
172.16.133.25:63531,216.219.112.250:443,246
172.16.133.41:53069,184.84.3.53:80,15080
172.16.133.71:57549,157.56.236.89:443,78
66.151.158.187:443,172.16.133.25:63530,120
184.84.3.53:80,172.16.133.41:53069,52966
172.16.133.78:59255,172.16.139.250:5440,1142
172.16.133.184:54072,107.22.223.184:443,1538
172.16.133.184:46562,205.210.187.119:443,3367
172.16.133.184:55928,173.194.43.45:443,2123
173.194.43.45:443,172.16.133.184:55928,3766
107.22.223.184:443,172.16.133.184:54072,6563
172.16.133.184:40598,38.126.130.199:443,1643
172.16.133.184:58433,50.22.198.102:443,1720
216.219.112.250:443,172.16.133.25:63531,120
157.56.236.89:443,172.16.133.71:57549,60
205.210.187.119:443,172.16.133.184:46562,8953
172.16.133.184:44822,98.139.225.43:443,2070
172.16.133.71:57550,157.56.240.137:443,78
172.16.133.67:56032,172.16.139.250:5440,1022
38.126.130.199:443,172.16.133.184:40598,6770
50.22.198.102:443,172.16.133.184:58433,5933
172.16.133.56:61476,172.16.139.250:5440,1022
157.56.240.137:443,172.16.133.71:57550,60
172.16.133.71:57551,157.56.244.217:443,78
98.139.225.43:443,172.16.133.184:44822,7491
172.16.133.48:60521,184.73.197.44:443,2021
172.16.133.41:53070,172.16.139.250:5440,1022
157.56.244.217:443,172.16.133.71:57551,60
172.16.133.71:57552,157.56.234.137:443,78
184.73.197.44:443,172.16.133.48:60521,3438
172.16.133.42:57173,172.16.139.250:5440,1142
172.16.133.85:52319,172.16.139.250:5440,1022
172.16.133.184:41472,66.235.146.171:443,5914
172.16.133.23:55045,172.16.139.250:5440,1022
172.16.133.184:55933,173.194.43.45:443,2410
172.16.133.43:57829,172.16.139.250:5440,1022
66.235.146.171:443,172.16.133.184:41472,8208
157.56.234.137:443,172.16.133.71:57552,60
172.16.133.71:57553,157.56.236.89:80,574
172.16.133.13:53085,172.16.139.250:5440,1022
173.194.43.45:443,172.16.133.184:55933,3673
172.16.133.39:64263,174.129.24.9:443,8012
172.16.133.20:62441,172.16.139.250:5440,1142
172.16.133.184:55185,64.208.138.244:443,1515
172.16.133.75:51023,172.16.139.250:5440,1022
174.129.24.9:443,172.16.133.39:64263,226061
172.16.133.28:65479,172.16.139.250:5440,1142
64.208.138.244:443,172.16.133.184:55185,3436
172.16.133.184:40681,173.194.43.58:443,1613
172.16.133.99:56090,172.16.139.250:5440,1142
157.56.236.89:80,172.16.133.71:57553,352
173.194.43.58:443,172.16.133.184:40681,3375
172.16.133.87:60255,172.16.139.250:5440,1022
172.16.133.35:50020,172.16.139.250:5440,1142
172.16.133.116:53512,172.16.139.250:5440,1022
172.16.133.116:53513,172.16.139.250:5440,1142
172.16.133.75:51024,216.115.219.126:443,246
172.16.133.116:53514,172.16.139.250:5440,1022
172.16.133.84:58839,172.16.139.250:5440,1022
172.16.133.184:35533,64.215.255.94:443,1503
172.16.133.184:43012,76.13.234.33:443,1329
172.16.133.184:43117,107.22.223.184:80,662
64.215.255.94:443,172.16.133.184:35533,5880
76.13.234.33:443,172.16.133.184:43012,2104
172.16.133.71:57554,157.56.241.118:443,1549
172.16.133.49:55835,172.16.139.250:5440,1142
107.22.223.184:80,172.16.133.184:43117,747
172.16.133.184:58442,50.22.198.102:443,1768
157.56.241.118:443,172.16.133.71:57554,6814
50.22.198.102:443,172.16.133.184:58442,5717
172.16.133.95:57016,172.16.139.250:5440,1022
172.16.133.25:63532,202.173.24.200:443,246
172.16.133.163:3542,68.64.24.250:443,246
172.16.133.92:57730,172.16.139.250:5440,1142
172.16.133.29:61000,172.16.139.250:5440,1022
172.16.133.44:64883,172.16.139.250:5440,1022
172.16.133.184:44041,173.194.43.45:80,1703
172.16.133.207:55980,172.16.139.250:5440,1022
172.16.133.83:57138,172.16.139.250:5440,1142
216.52.242.80:80,172.16.133.35:49485,60
68.64.24.250:443,172.16.133.163:3542,120
172.16.133.163:3544,78.108.118.250:443,246
172.16.133.163:3543,216.219.118.244:443,246
172.16.133.93:60767,172.16.139.250:5440,1022
173.194.43.45:80,172.16.133.184:44041,2285
172.16.133.11:55189,172.16.139.250:5440,1022
216.115.219.126:443,172.16.133.75:51024,120
172.16.133.55:57668,172.16.139.250:5440,1022
216.52.242.80:80,172.16.133.35:49523,60
172.16.133.73:60720,172.16.139.250:5440,1022
172.16.133.184:44042,173.194.43.45:80,2129
172.16.133.53:54150,172.16.139.250:5440,1022
172.16.133.21:53241,172.16.139.250:5440,1022
172.16.133.30:62670,172.16.139.250:5440,1022
172.16.133.25:63533,172.16.139.250:5440,1142
172.16.133.34:50486,172.16.139.250:5440,1022
173.194.43.45:80,172.16.133.184:44042,1868
172.16.133.97:59419,172.16.139.250:5440,1022
78.108.118.250:443,172.16.133.163:3544,120
216.219.118.244:443,172.16.133.163:3543,120
172.16.133.53:54151,68.64.24.250:443,246
172.16.133.33:57932,172.16.139.250:5440,1142
68.64.24.250:443,172.16.133.53:54151,120
202.173.24.200:443,172.16.133.25:63532,120
172.16.133.68:60802,172.16.139.250:5440,1022
172.16.133.53:54152,216.219.118.244:443,246
172.16.133.53:54153,78.108.118.250:443,246
172.16.133.12:59826,172.16.139.250:5440,1022
172.16.133.63:53933,172.16.139.250:5440,1022
172.16.133.66:53926,172.16.139.250:5440,1022
172.16.133.82:61395,172.16.139.250:5440,1022
172.16.133.37:60672,172.16.139.250:5440,1022
216.219.118.244:443,172.16.133.53:54152,120
172.16.133.163:3545,216.115.219.126:443,246
78.108.118.250:443,172.16.133.53:54153,120
172.16.133.53:54154,216.115.219.126:443,246
172.16.133.41:53071,184.84.3.53:80,7599
172.16.133.41:53072,184.84.3.53:80,9399
172.16.133.41:53073,184.84.3.53:80,6350
172.16.133.41:53074,184.84.3.53:80,16953
172.16.133.41:53075,184.84.3.53:80,7711
184.84.3.53:80,172.16.133.41:53071,26716
184.84.3.53:80,172.16.133.41:53072,51894
184.84.3.53:80,172.16.133.41:53073,88077
184.84.3.53:80,172.16.133.41:53074,57247
184.84.3.53:80,172.16.133.41:53075,41715
172.16.133.78:59256,172.16.139.250:5440,1022
172.16.133.67:56033,172.16.139.250:5440,1022
172.16.133.56:61477,172.16.139.250:5440,1022
216.115.219.126:443,172.16.133.163:3545,120
172.16.133.41:53076,172.16.139.250:5440,1142
172.16.133.42:57174,172.16.139.250:5440,1142
172.16.133.85:52320,172.16.139.250:5440,1142
216.115.219.126:443,172.16.133.53:54154,120
172.16.133.43:57830,172.16.139.250:5440,1142
172.16.133.63:53934,180.153.31.250:443,246
172.16.133.13:53086,172.16.139.250:5440,1142
172.16.133.41:53077,23.0.60.101:80,3856
23.0.60.101:80,172.16.133.41:53077,5025
172.16.133.20:62442,172.16.139.250:5440,1142
172.16.133.75:51025,172.16.139.250:5440,1022
172.16.133.28:65480,172.16.139.250:5440,1022
172.16.133.99:56091,172.16.139.250:5440,1142
172.16.133.41:53078,23.0.60.101:80,2219
172.16.133.41:53079,23.0.60.101:80,2229
172.16.133.41:53080,23.0.60.101:80,4596
172.16.133.41:53081,23.0.60.101:80,2563
172.16.133.87:60256,172.16.139.250:5440,1022
23.0.60.101:80,172.16.133.41:53079,2186
23.0.60.101:80,172.16.133.41:53078,2733
23.0.60.101:80,172.16.133.41:53080,46990
23.0.60.101:80,172.16.133.41:53081,40134
172.16.133.35:50021,172.16.139.250:5440,1142
172.16.133.116:53515,172.16.139.250:5440,1022
172.16.133.116:53516,172.16.139.250:5440,1022
172.16.133.116:53517,172.16.139.250:5440,1142
